num_reads_per_UMI	counts_0.5	counts_0.6	counts_0.7	counts_0.8	counts_0.9	counts_1
1	20502	20114	19897	19748	19664	19607
2	11660	10944	10526	10304	10152	10038
3	9310	8331	7737	7369	7139	6981
4	8450	7374	6624	6113	5777	5567
5	8048	7006	6166	5534	5102	4820
6	7666	6809	6014	5303	4782	4354
7	7068	6584	5864	5235	4685	4290
8	6344	6226	5746	5193	4664	4165
9	5521	5765	5555	5138	4646	4210
10	4642	5244	5248	4964	4607	4157
11	3799	4615	4866	4764	4520	4246
12	3014	3979	4461	4500	4321	4128
13	2321	3342	3986	4215	4143	3926
14	1732	2732	3494	3885	3965	3857
15	1284	2190	2983	3503	3731	3647
16	926	1717	2494	3104	3446	3626
17	668	1335	2059	2700	3134	3306
18	464	1011	1677	2308	2793	3058
19	325	761	1329	1940	2468	2830
20	226	566	1056	1612	2143	2625
21	159	419	829	1320	1828	2173
22	110	302	646	1074	1546	2070
23	76	221	490	868	1286	1700
24	52	162	371	696	1073	1479
25	36	117	288	553	892	1281
26	26	86	211	432	732	1032
27	17	62	158	342	601	886
28	14	46	120	264	488	791
29	9	35	92	204	388	626
30	7	25	70	159	309	539
31	5	18	52	122	242	422
32	3	14	41	94	194	348
33	2	11	33	74	155	278
34	1	8	25	58	124	231
35	1	6	19	45	96	177
36	1	4	15	38	77	164
37	0	3	11	31	60	128
38	0	3	9	25	50	91
39	0	2	7	19	41	76
40	0	1	6	14	37	62
41	0	1	4	12	28	47
42	0	1	3	9	23	44
43	0	0	3	8	18	45
44	0	0	2	6	14	37
45	0	0	1	5	12	26
46	0	0	1	4	9	20
47	0	0	1	4	8	18
48	0	0	0	3	7	14
49	0	0	0	2	6	11
50	0	0	0	1	5	5
51	0	0	0	1	4	13
52	0	0	0	1	3	7
53	0	0	0	0	2	8
54	0	0	0	0	2	4
55	0	0	0	0	1	5
56	0	0	0	0	2	3
57	0	0	0	0	1	2
58	0	0	0	0	1	2
59	0	0	0	0	1	2
60	0	0	0	0	0	1
61	0	0	0	0	0	1
62	0	0	0	0	0	4
63	0	0	0	0	0	0
65	0	0	0	0	0	1
