GENE_NAME	GENE_UNIQUE_UMI	TOTAL_UNIQUE_UMI	METAGENE_UMI	AMBIGUOUS_UMI	FRAC_METAGENE_UMI
EIF3C:EIF3CL	103:149	252	12506	0	0.98
SMN1:SMN2	286:268	554	11029	2	0.95
F8A2:F8A3	0:0	0	38	0	1
RPS17:RPS17L	0:0	0	9725	0	1
DHFR:MT-RNR1	887:139386	140273	3514	0	0.02
H2AFB2:H2AFB3	0:0	0	5	0	1
BZW1:LSAMP	4448:1034582	1039030	4497	11	0
POM121:POM121C	10844:8529	19373	2527	15	0.12
NOTCH2:NOTCH2NL	7209:620	7829	1282	2	0.14
