GENE_NAME	GENE_UNIQUE_UMI	TOTAL_UNIQUE_UMI	METAGENE_UMI	AMBIGUOUS_UMI	FRAC_METAGENE_UMI
EIF3C:EIF3CL	109:170	279	12075	1	0.98
SMN1:SMN2	283:255	538	10411	0	0.95
F8A2:F8A3	0:0	0	30	0	1
RPS17:RPS17L	0:0	0	9371	0	1
DHFR:MT-RNR1	782:136004	136786	3202	0	0.02
ASTN2:MEGF11	75568:5350	80918	18	0	0
BZW1:LSAMP	4472:1034580	1039052	4215	15	0
POM121:POM121C	10625:8196	18821	2275	19	0.11
NOTCH2:NOTCH2NL	7044:692	7736	1269	4	0.14
