GENE_NAME	GENE_UNIQUE_UMI	TOTAL_UNIQUE_UMI	METAGENE_UMI	AMBIGUOUS_UMI	FRAC_METAGENE_UMI
EIF3C:EIF3CL	132:162	294	13083	1	0.98
SMN1:SMN2	303:357	660	11396	1	0.95
F8A2:F8A3	0:0	0	47	0	1
RPS17:RPS17L	0:0	0	10555	0	1
DHFR:MT-RNR1	869:145937	146806	3551	2	0.02
H2AFB2:H2AFB3	0:0	0	5	0	1
ASTN2:MEGF11	79870:5452	85322	2	0	0
BZW1:LSAMP	4934:1095513	1100447	4576	18	0
POM121:POM121C	11731:8952	20683	2757	24	0.12
NOTCH2:NOTCH2NL	7734:757	8491	1333	4	0.14
