GENE_NAME	GENE_UNIQUE_UMI	TOTAL_UNIQUE_UMI	METAGENE_UMI	AMBIGUOUS_UMI	FRAC_METAGENE_UMI
EIF3C:EIF3CL	132:200	332	15279	1	0.98
SMN1:SMN2	407:408	815	12795	1	0.94
F8A2:F8A3	0:3	3	59	0	0.95
RPS17:RPS17L	0:0	0	12293	0	1
DHFR:MT-RNR1	942:172666	173608	3865	0	0.02
H2AFB2:H2AFB3	0:0	0	2	0	1
ASTN2:MEGF11	86340:6316	92656	1	0	0
BZW1:LSAMP	5671:1195731	1201402	5183	29	0
POM121:POM121C	12767:10314	23081	3134	25	0.12
NOTCH2:NOTCH2NL	8439:923	9362	1517	5	0.14
