GENE_NAME	GENE_UNIQUE_UMI	TOTAL_UNIQUE_UMI	METAGENE_UMI	AMBIGUOUS_UMI	FRAC_METAGENE_UMI
EIF3C:EIF3CL	591:830	1421	64994	4	0.98
SMN1:SMN2	1549:1543	3092	56323	4	0.95
RPS17:RPS17L	0:0	0	51461	0	1
BZW1:LSAMP	24014:5348298	5372312	22703	83	0
DHFR:MT-RNR1	4260:733790	738050	17443	2	0.02
POM121:POM121C	56619:44335	100954	13260	105	0.12
NOTCH2:NOTCH2NL	37104:3663	40767	6631	16	0.14
F8A2:F8A3	0:4	4	217	0	0.98
ASTN2:MEGF11	312979:22049	335028	24	0	0
H2AFB2:H2AFB3	0:0	0	16	0	1
