GENE_NAME	GENE_UNIQUE_UMI	TOTAL_UNIQUE_UMI	METAGENE_UMI	AMBIGUOUS_UMI	FRAC_METAGENE_UMI
EIF3C:EIF3CL	115:149	264	12051	1	0.98
SMN1:SMN2	270:255	525	10692	0	0.95
F8A2:F8A3	0:1	1	43	0	0.98
RPS17:RPS17L	0:0	0	9517	0	1
DHFR:MT-RNR1	780:139797	140577	3311	0	0.02
H2AFB2:H2AFB3	0:0	0	4	0	1
ASTN2:MEGF11	71201:4931	76132	3	0	0
BZW1:LSAMP	4489:987892	992381	4232	10	0
POM121:POM121C	10652:8344	18996	2567	22	0.12
NOTCH2:NOTCH2NL	6678:671	7349	1230	1	0.14
