

## HISTOGRAM	java.lang.Integer
CYCLE	MEAN_QUALITY
1	28.769785
2	29.089984
3	29.438396
4	29.518836
5	29.027246
6	32.249588
7	32.370791
8	32.302578
9	32.443371
10	32.316969
11	32.056987
12	32.138405
13	33.166073
14	33.169797
15	33.167159
16	33.068033
17	33.063651
18	32.849736
19	33.085583
20	32.939892
21	32.942842
22	32.903726
23	33.233501
24	33.218825
25	33.021973
26	32.955565
27	33.098076
28	33.043804
29	33.046651
30	33.150356
31	33.118658
32	32.94208
33	33.039772
34	33.126778
35	32.931364
36	32.906064
37	32.968353
38	32.998613
39	32.762788
40	32.934607
41	32.92051
42	32.765892
43	32.914597
44	32.826828
45	32.832969
46	32.70704
47	32.896006
48	32.830648
49	32.859487
50	32.293467

