GENE	1	2	3
C1orf112	1	0	1
AHCTF1	13	15	6
C1orf228	0	0	1
C1orf95	2	0	1
CC2D1B	1	0	0
AGO4	3	1	9
ARPC5	146	180	151
ANGEL2	6	3	8
BTBD19	1	0	0
B4GALT3	7	13	10
BCAS2	32	25	22
APH1A	8	8	7
ANKRD13C	19	20	10
ARHGEF2	1	2	2
AGO3	13	13	17
ATP13A2	22	30	20
ARV1	15	8	9
BGLAP	0	1	0
CACHD1	1	3	2
C1orf220	0	0	1
AMIGO1	1	1	3
ACADM	20	22	23
ASH1L-AS1	2	0	4
C1orf56	7	2	4
ACTA1	0	1	0
ASH1L	31	37	25
AKR1A1	41	31	34
ASCL5	2	0	0
CAPN2	9	13	9
C1orf122	72	73	66
C1orf35	10	8	5
AHCYL1	12	14	15
ATAD3C	0	1	0
C1orf101	0	0	1
CCNL2	23	23	15
AMY2B	1	2	0
ARF1	57	74	64
BCAN	0	0	1
