GENE	CHB5_P25_140801	CHB9_P24_140728	CSES12_P14_140616	CT2_P11_140622	CT4_P15_140622	ESI049_P33_140612	Genea15_P20_150110	Genea16_P17_150104	Genea42_P19_150107	Genea43_P12_150104	Genea47_P10_150104	Genea52_P11_150110	Genea57_P13_150110	HS346_P25_140704	HS401_P25_140619	HS420_P24_140623	HUES42_P22_131008	HUES44_P16_131008	HUES45_P21_131206	HUES62_P18_131007	HUES63_P15_140416	HUES72_P20_150119	HUES74_P7_150201	HUES75_P7_150124	Mel1_P20_150107	Mel4_P37_150119	RUES1_P25_140730	UCLA10_P15_150817	UCLA13_P16_150817	UCLA14_P20_150817	UCLA16_P16_150817	UCLA1_P15_150817	UCLA2_P14_150817	UCLA8_P15_150817	UCSF4_P19_140613	UM14-1_P26_150115	UM33-4_P25_150107	UM4-6_P15_150116	UM77-2_P12_150107	WA01_P23_140528	WA14_P21_131206	WA17_P12_140530	WA18_P9_140530	WA22_P14_140530	WA7_P33_140529	WIBR3_P23_140624	WIBR5_P13_140611	WIBR6_P11_140617
BCKDHB	249	94	92	196	216	88	130	254	211	132	313	23	531	484	73	97	130	235	195	233	272	652	20	176	96	104	167	98	224	139	250	423	103	43	170	104	182	61	306	123	73	151	80	246	164	181	347	509
C7orf49	540	184	165	383	342	298	346	507	374	290	650	88	1007	855	194	194	444	419	325	691	764	1665	41	297	212	198	360	313	538	477	419	719	249	64	399	274	324	167	724	281	146	411	140	456	324	361	714	828
CASC9	55	10	2	17	17	20	43	28	18	6	51	3	79	130	9	22	57	37	10	86	60	246	1	19	17	15	28	7	22	85	22	29	26	3	21	23	35	2	89	19	11	103	11	31	16	17	139	77
COL5A2	41	8	13	44	16	58	21	41	17	11	39	24	60	36	19	30	32	81	32	63	90	110	59	20	19	15	22	25	30	24	19	103	10	3	46	34	16	18	99	13	5	80	7	45	11	24	64	34
CSDC2	565	130	80	203	170	404	163	389	259	193	513	50	637	744	73	93	216	249	266	309	450	1485	12	251	140	177	149	167	324	151	270	413	114	44	245	124	163	143	523	229	63	95	68	328	224	321	418	615
CYP2B6	1	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	4	1	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2
DACT3-AS1	42	11	17	40	24	15	16	31	17	20	52	4	75	62	12	17	21	30	28	58	37	167	7	21	9	19	37	21	41	37	31	71	30	4	20	20	29	19	54	11	10	29	6	26	15	15	38	91
EXOSC9	602	158	144	269	248	228	292	464	323	267	524	75	658	703	167	201	423	444	313	624	702	1357	29	322	158	165	338	255	522	363	444	639	277	54	364	298	341	156	619	263	161	333	129	460	357	303	555	683
FADS3	1238	446	416	707	1019	727	730	1287	998	844	1672	197	3063	2635	301	290	601	1149	882	1412	1159	4307	48	1135	471	421	863	460	1044	594	1121	2077	442	145	776	585	866	436	1507	799	260	464	307	1050	827	839	1901	2486
FBXO11	2016	668	634	1010	1192	1155	1170	1791	1271	1098	2142	261	3437	3012	652	787	1028	1741	1375	1924	2060	5692	141	1343	596	687	1378	888	1758	1063	1526	2463	911	238	1276	1167	1294	568	2428	983	582	1247	540	1611	1118	1220	1884	3122
FOXP1-AS1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
