GENE	CHB5_P25_140801	CHB9_P24_140728	CSES12_P14_140616	CT2_P11_140622	CT4_P15_140622	ESI049_P33_140612	Genea15_P20_150110	Genea16_P17_150104	Genea42_P19_150107	Genea43_P12_150104	Genea47_P10_150104	Genea52_P11_150110	Genea57_P13_150110	HS346_P25_140704	HS401_P25_140619	HS420_P24_140623	HUES42_P22_131008	HUES44_P16_131008	HUES45_P21_131206	HUES62_P18_131007	HUES63_P15_140416	HUES72_P20_150119	HUES74_P7_150201	HUES75_P7_150124	Mel1_P20_150107	Mel4_P37_150119	RUES1_P25_140730	UCLA10_P15_150817	UCLA13_P16_150817	UCLA14_P20_150817	UCLA16_P16_150817	UCLA1_P15_150817	UCLA2_P14_150817	UCLA8_P15_150817	UCSF4_P19_140613	UM14-1_P26_150115	UM33-4_P25_150107	UM4-6_P15_150116	UM77-2_P12_150107	WA01_P23_140528	WA14_P21_131206	WA17_P12_140530	WA18_P9_140530	WA22_P14_140530	WA7_P33_140529	WIBR3_P23_140624	WIBR5_P13_140611	WIBR6_P11_140617
IFT88	661	196	219	335	409	333	350	538	524	419	730	91	1154	1013	245	237	373	526	530	714	810	2149	50	497	230	253	559	275	578	366	599	935	273	71	446	342	480	219	724	368	188	371	175	612	434	465	699	1104
IL36B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KIF26B	596	275	180	314	443	308	446	822	392	334	762	66	1350	1964	261	281	296	511	495	532	820	2326	57	396	212	217	413	313	604	340	539	863	387	75	340	449	461	209	768	293	177	352	259	568	319	453	568	1840
KLHL33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ME1	556	109	197	141	319	244	297	602	479	226	806	35	722	1130	63	72	287	465	407	707	503	2400	18	404	166	271	283	201	320	247	431	1023	180	39	304	136	321	122	656	360	125	200	88	470	363	426	742	1157
MIR548AG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MPG	2005	667	626	1073	1235	1049	1152	1942	1379	1003	2129	266	3139	2962	597	788	1450	1735	1394	2192	2781	6847	157	1280	754	797	1435	1005	1832	1392	1664	2476	906	237	1422	1065	1490	602	2621	935	501	1441	440	1752	1116	1233	2256	2895
NFATC1	47	3	5	11	6	7	13	6	8	4	5	1	7	7	3	13	63	19	4	65	55	88	6	2	6	2	10	21	25	39	3	11	17	0	24	11	5	4	42	2	3	88	4	10	2	2	8	7
NISCH	2091	732	707	1029	1167	1094	1281	1761	1218	1221	2119	286	3021	3460	642	846	1126	1903	1526	2082	2363	6880	176	1353	777	643	1445	1009	1923	1224	1617	2669	1013	250	1327	1305	1371	637	2670	1137	620	1374	513	1649	1148	1314	1754	3080
NME1-NME2	339	89	96	137	156	86	151	211	138	121	208	31	411	447	58	42	293	197	108	384	488	1372	19	123	98	69	129	163	307	290	169	238	87	31	274	58	156	72	396	109	66	233	45	183	117	123	218	411
NPAS1	97	26	30	42	52	33	43	51	63	39	56	8	130	141	19	21	57	73	54	119	142	377	3	39	49	36	38	39	72	46	91	98	29	5	59	30	49	20	114	34	18	83	16	61	39	42	128	96
NTPCR	1620	567	588	1021	1157	831	1023	2188	1104	829	1819	294	3230	3529	515	644	1053	1713	1108	1660	2354	6500	147	1169	755	683	1279	746	1459	949	1308	2028	778	275	1146	905	1155	454	1895	868	466	1267	510	2039	969	1108	2086	3924
OAZ2	8304	2679	2645	4591	4987	4281	4843	7487	5468	4637	9045	1061	15005	13367	2575	3226	4611	6985	5510	8412	9735	24502	582	5731	2970	2801	6202	3474	7007	4392	6430	10729	3784	1006	5339	4540	5590	2558	9738	4128	2359	4859	2136	6501	4732	5427	9285	12724
POU5F2	75	25	25	41	32	19	46	64	41	42	64	7	146	124	17	26	48	58	47	74	69	169	8	35	23	29	31	31	52	41	44	97	23	10	33	35	45	23	67	33	27	28	12	49	21	30	26	105
RASSF4	219	92	82	175	160	114	150	274	207	112	255	44	427	362	87	103	202	247	198	235	338	827	23	144	124	130	162	117	195	244	235	331	151	32	168	129	223	81	290	116	57	209	72	312	126	199	287	313
RNU6-118P	40	16	11	18	16	23	23	36	26	24	35	5	62	57	10	14	30	35	31	58	56	123	3	23	11	12	44	27	31	25	19	48	20	3	26	26	21	15	55	20	12	28	8	33	23	27	38	66
RNU6-130P	39	8	15	19	23	21	18	23	40	15	38	0	70	74	9	14	18	28	21	37	35	120	2	21	11	11	23	17	32	15	34	63	25	6	24	18	27	10	47	19	5	18	10	31	18	23	31	52
RNU6-782P	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1
SLC26A2	434	166	155	277	300	238	266	394	352	243	490	56	775	721	159	205	290	433	366	487	494	1144	41	289	158	157	324	223	433	317	382	597	209	57	310	256	361	134	524	218	137	220	114	387	238	289	436	652
SNORD114-29	0	1	0	2	2	1	1	13	3	3	11	0	25	29	0	0	2	1	0	2	0	5	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	2	0	0	3	0	3	0	0	7	24
SUGT1	4130	1512	1442	2549	2712	2342	2686	3775	2587	2359	4619	673	7038	6192	1417	1554	2277	3688	2807	4370	5050	11537	293	2728	1569	1489	3008	2058	3825	2438	3248	6010	2147	469	2737	2225	3084	1229	4985	2552	1061	2593	1189	3721	2265	2636	4498	5939
TMED5	814	258	299	481	490	348	460	758	627	493	1069	104	1691	1345	206	282	542	662	568	955	1157	3778	47	554	282	291	545	359	735	559	675	1069	297	77	550	418	562	233	907	470	190	565	188	744	490	569	1067	1379
TMEM210	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	2	0	1
TTC34	27	2	1	0	2	10	4	16	17	0	14	0	55	66	1	5	13	3	21	17	31	161	0	3	7	5	5	0	22	5	4	8	1	3	0	0	1	1	14	10	3	9	0	18	11	16	18	42
WBP4	2137	615	664	1068	1243	1193	1278	2065	1460	1099	2495	252	4114	3717	616	735	1135	1801	1272	2234	2200	6100	132	1326	703	664	1551	847	1755	1128	1696	2845	855	254	1303	1073	1334	615	2203	1150	568	1138	544	1793	1204	1223	2619	3678
ZNF665	96	40	20	42	39	23	40	73	37	36	64	12	130	148	29	23	22	48	55	46	117	234	2	45	17	32	54	36	71	71	60	111	34	7	53	50	70	22	107	26	12	39	29	62	27	61	69	130
ZSCAN10	1	0	0	0	3	0	0	1	0	0	0	0	2	1	1	0	1	0	0	3	2	6	0	1	1	1	1	2	0	1	3	1	1	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0
ABCB7	402	116	104	184	216	174	182	325	246	172	375	57	515	948	113	112	258	309	258	329	471	1097	28	211	115	129	257	171	328	235	262	401	127	50	225	217	259	115	444	127	96	228	93	300	174	200	308	968
AMMECR1	142	46	36	125	94	62	67	142	130	49	199	15	387	323	36	50	94	110	135	263	188	770	13	122	57	68	50	48	116	112	130	220	44	18	192	73	146	29	300	39	41	111	28	172	104	106	243	312
AP1S2	11837	3120	2848	8650	11269	4316	5877	16499	11640	4636	19289	1008	26911	29591	2950	4189	5139	16374	12497	18155	11527	59723	918	11301	3027	6702	8161	4060	8271	10099	15241	22705	5304	2072	11995	6031	12046	3121	21863	4771	2976	7085	2403	15506	10078	11522	18252	29110
ARMCX3-AS1	15	1	2	8	6	7	5	6	6	3	17	2	24	33	1	9	8	16	10	15	13	65	0	11	5	9	18	4	12	11	18	17	2	0	5	10	6	9	10	4	5	11	6	21	7	8	13	40
CDX4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
COL4A5	11	3	4	47	25	20	13	10	15	2	27	4	17	2	3	2	32	34	7	24	17	89	3	4	10	14	4	13	15	69	2	19	2	1	28	10	24	2	64	3	1	42	4	46	3	4	56	4
CSAG1	0	0	0	1	3	0	1	9	0	113	7	0	32	1	0	0	0	3	0	0	0	5	0	0	0	0	0	1	2	0	0	7	1	0	1	0	1	0	0	0	0	0	0	2	1	0	1	7
CT83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXorf49B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRSX-IT1	9	14	5	16	35	21	13	5	17	6	31	6	54	35	6	1	12	19	25	22	34	73	2	12	13	18	19	10	33	24	27	32	29	4	7	18	23	2	24	29	4	16	8	25	24	12	16	12
FAM9B	50	1	0	0	0	0	0	1	0	0	1	0	1	3	0	1	1	1	0	3	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2
FATE1	4	0	3	1	10	0	0	2	1	0	6	0	14	60	0	0	17	1	2	9	4	27	0	0	1	0	0	4	3	24	0	1	1	0	13	1	4	1	7	0	0	9	1	3	1	2	19	14
FGF13-AS1	46	9	7	42	27	32	17	73	37	27	91	4	189	118	4	7	27	23	20	37	35	174	4	26	7	15	24	19	36	29	45	48	21	5	32	17	26	10	48	24	10	24	10	49	43	48	104	120
GLRA2	1524	551	525	1744	1828	609	819	1980	1583	809	3819	181	6379	8588	406	459	745	1421	2222	1425	1279	6901	97	940	519	937	940	537	1410	1803	2023	2205	595	347	813	708	997	461	2131	850	359	669	322	1949	1595	1798	3120	6308
GLUD2	11	1	0	6	6	2	2	9	8	4	8	0	26	13	5	0	8	6	4	8	13	40	0	4	3	1	5	6	4	3	8	10	5	0	6	9	1	1	8	8	2	1	3	2	5	4	14	12
HAUS7	35	12	10	13	17	11	23	21	16	15	44	3	75	84	8	11	28	28	17	34	41	87	0	21	8	7	26	12	26	20	28	36	15	4	22	13	15	9	28	15	9	28	9	22	15	15	70	83
HDAC8	605	177	188	310	351	303	335	481	402	334	1096	76	1698	1445	165	237	320	505	383	535	671	2950	50	491	230	232	427	254	473	308	418	681	271	57	385	332	377	177	665	253	145	353	117	446	320	658	1111	1489
HMGN5	383	84	52	154	148	82	135	189	95	78	197	33	538	439	63	77	375	202	118	480	508	1127	23	115	82	109	131	200	313	315	137	194	98	17	267	122	146	63	534	71	48	266	56	170	94	93	163	442
HUWE1	2677	768	765	1203	1547	1180	1399	2184	1539	1376	2623	315	7039	7203	701	852	1281	2137	1626	2385	2633	7617	135	1546	718	772	1535	1132	2064	1394	1824	3200	1117	253	1503	1254	1591	697	2991	1229	672	1406	573	1842	1349	1413	2198	6827
ITGB1BP2	17	3	3	3	7	4	7	11	9	8	10	2	26	30	2	4	2	9	11	8	9	39	1	6	1	3	10	5	12	12	2	12	6	2	7	7	6	2	21	4	3	6	0	6	6	3	11	27
LINC00269	10	0	0	3	1	1	0	3	1	1	6	0	26	29	0	1	2	0	2	4	5	25	0	6	0	3	3	1	5	3	3	4	0	1	6	6	0	0	8	2	0	2	1	7	4	8	5	34
LINC00893	96	40	29	50	62	62	50	94	70	53	162	8	330	264	33	41	60	84	44	91	115	568	9	48	35	64	67	32	74	55	66	101	46	6	52	58	60	20	113	42	31	58	34	91	49	111	191	274
LPAR4	58	25	12	8	25	23	22	23	31	12	28	5	76	113	28	33	24	84	34	33	96	245	23	20	17	24	25	44	48	36	27	54	39	7	34	46	40	30	78	11	17	52	23	39	35	20	34	98
MAGEB17	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB4	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0
MED12	269	77	55	104	107	118	125	200	121	103	206	27	527	554	64	68	174	163	115	221	338	728	14	106	74	84	144	149	240	174	159	274	95	20	190	117	118	74	288	98	62	162	56	195	113	146	345	513
MID1IP1	867	221	286	558	572	239	560	748	750	478	1146	91	1401	1881	252	376	457	621	725	681	975	4661	56	436	307	496	556	355	760	419	727	1507	453	125	946	488	534	229	717	427	306	506	233	762	765	646	973	1405
MIR421	5	1	3	4	5	2	2	9	9	0	11	0	15	11	2	5	2	4	7	3	5	13	0	3	3	3	4	1	2	7	5	11	0	0	3	1	2	0	5	4	1	3	2	10	6	1	11	19
MIR4767	2	0	0	0	0	0	0	1	2	1	2	0	2	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	1	1	2	0	2
MIR548F5	0	0	0	1	0	0	0	0	1	0	1	0	3	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0
NDUFA1	14544	4211	4087	7537	9300	6304	7827	12732	9531	7397	14840	1792	39831	43001	3788	4949	7269	11497	9101	13268	14663	40699	986	8520	4720	4829	9083	5679	10336	7342	11192	17141	5493	1586	8796	6983	8819	3861	14064	6937	3230	9219	3401	10950	8155	8144	15841	40602
NHS	508	122	111	431	518	183	168	859	542	206	897	52	1382	1314	94	105	184	413	532	675	437	2438	20	467	155	330	247	190	366	280	536	1004	142	78	464	195	487	117	835	173	75	207	86	736	456	530	870	1269
NUDT11	2079	589	480	815	1069	849	939	1763	1107	1016	3204	231	5490	5704	537	619	989	1544	1140	1968	2183	5021	127	1312	500	550	1214	754	1679	898	1195	2198	759	170	1149	987	1298	522	2242	825	462	1044	430	1367	893	1141	3431	5342
NUP62CL	121	27	10	39	72	41	29	129	72	30	203	6	403	338	13	29	111	45	38	158	153	492	3	37	15	22	35	53	78	120	89	91	25	16	60	23	111	13	97	18	13	96	20	183	49	38	223	410
PHF6	1594	474	456	1379	937	774	960	2151	1622	746	2509	190	3911	3631	511	623	833	1347	1215	1416	1699	6630	134	846	430	858	1096	715	1173	827	1490	1721	670	294	1685	921	978	416	1714	656	438	1027	409	1872	1451	1473	2384	3387
PHKA1	81	20	32	49	63	38	60	98	48	46	125	9	411	450	20	22	52	49	55	82	99	603	8	57	28	33	56	33	51	49	79	124	37	10	50	38	73	18	127	36	15	62	16	73	47	58	226	359
PJA1	2056	640	556	1837	1563	964	1019	3200	2504	1047	3797	243	5863	6442	514	731	1052	1633	1427	1919	2305	10682	124	1379	599	900	1339	842	1695	978	2165	4058	804	435	2052	1115	1242	618	2334	943	520	1131	470	1785	1960	2464	3638	5904
PLXNB3	2	0	0	0	0	1	2	2	1	0	0	0	3	3	0	0	1	0	1	0	3	1	0	0	0	1	0	0	2	2	3	2	0	0	0	0	2	0	0	2	0	1	0	1	0	1	0	2
POF1B	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0
PQBP1	3345	928	899	2576	2660	1491	1750	3830	3156	1578	4869	363	6456	5554	802	1085	1835	2345	2081	3376	3309	13549	233	1762	972	1601	1961	1338	2499	1641	3059	5515	1286	490	2695	1558	1733	826	3079	1483	758	1931	696	2529	2636	2668	4546	5448
RN7SL667P	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-112P	2	0	0	0	1	0	1	1	2	0	3	1	2	2	1	0	0	1	1	1	2	4	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	2	3
RNU1-67P	2	7	1	5	8	2	4	3	5	1	5	0	19	17	2	0	4	1	0	15	9	51	1	0	4	0	0	11	9	5	7	15	1	2	6	2	3	0	15	6	1	5	3	6	3	5	22	24
RNU7-7P	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	1
SCML2	417	88	73	216	290	157	186	285	222	111	440	60	694	738	84	104	261	233	175	325	466	1890	27	124	105	104	232	193	296	273	291	257	148	27	220	129	157	83	385	136	106	264	72	473	116	169	446	656
SH3KBP1	3499	1071	909	3804	4108	1495	1330	5821	4256	1490	7980	292	11148	12748	561	691	1536	2695	2191	2703	2741	17318	158	2152	1008	1090	1931	1132	2362	1625	4246	4709	1043	698	1877	1379	1984	971	3549	1610	629	1389	552	4476	1736	2217	7595	11462
SLC10A3	358	84	80	138	165	160	158	254	200	124	346	36	1073	950	77	101	269	229	170	388	436	1103	13	147	95	105	194	162	232	195	204	373	108	22	192	128	201	91	313	123	72	232	62	244	145	173	736	972
SMARCA1	3083	927	792	2394	1735	1496	1525	5187	3439	1696	5832	406	9074	7993	849	1048	1551	2835	2682	2916	3536	16287	186	1800	972	1544	2062	1372	2675	1728	3119	3760	1311	328	2037	1602	1944	888	3943	1357	704	1606	765	4789	2638	3279	5112	8554
SPANXN4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYAP1	3407	848	890	2684	3308	1414	1567	4724	3666	1438	6168	365	9396	7987	776	1012	1722	4567	3401	5615	3243	15068	181	3251	934	1953	2018	1339	2429	3092	4258	6856	1231	586	3437	1442	3465	842	5992	1466	667	1842	612	4050	2966	3110	6083	7932
TAF9B	1607	537	92	935	970	770	844	1337	1124	320	3136	172	2857	4315	484	577	834	1319	52	1603	1844	4468	123	1143	579	648	1237	651	1464	843	1134	1944	495	181	1043	967	1093	463	211	489	417	1001	364	1393	917	1039	3667	4453
TLR8-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
TNMD	41	0	0	1	2	1	1	4	3	2	1	0	4	2	71	0	3	2	0	57	10	46	108	0	0	0	1	0	3	12	1	0	0	0	3	1	1	1	11	0	4	40	0	6	1	2	4	1
TSC22D3	3854	1292	1178	3437	3967	1821	2142	5567	4627	2108	7817	455	13106	14523	1026	1230	2128	3672	4890	7292	4304	21077	293	5215	1307	2335	2497	1633	3518	3452	5190	6229	1649	783	2753	1870	4729	1200	7629	2315	922	2217	860	5206	3514	4416	7157	12384
TSPAN7	4957	1451	1186	2267	3152	2005	2418	7714	2915	2324	8065	475	13333	15081	1428	1903	2106	3756	2904	4011	5068	13873	307	2938	1469	1777	3553	1781	3794	2213	4993	5754	1910	1013	2886	2718	3219	1462	5241	2427	1477	2494	1072	9003	2694	5861	7489	13716
USP9X	2116	623	563	1866	2241	878	1048	3316	2438	983	3949	207	6093	5359	524	644	1031	1737	2198	2253	1963	10337	131	1377	558	1102	1128	912	1617	1226	2597	4733	777	385	2253	1016	1253	537	4307	923	474	1281	465	2819	2075	2200	3212	5138
VAMP7	1086	294	229	523	599	527	515	790	660	438	972	136	3175	2788	256	304	572	781	568	900	1085	2800	62	546	341	288	620	379	868	491	767	1161	379	90	580	457	588	291	943	420	220	643	240	750	503	525	1142	2645
WWC3	230	61	43	158	176	101	100	292	118	108	342	21	602	545	37	63	122	187	106	198	247	943	15	90	64	59	121	106	143	158	136	305	61	28	123	95	125	40	245	94	38	167	31	257	200	177	360	468
ZCCHC18	477	158	137	446	482	285	226	622	570	217	857	46	1464	1705	174	176	232	425	446	395	477	2261	38	337	149	261	299	203	418	254	476	637	196	101	279	241	318	113	1010	253	99	226	104	629	407	549	708	1516
ZFP92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
